1,Team,Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Shots,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Distance from goal,Shots from FK,PK made,PK attempted
2,Bayern Munich,Matchweek 1,Away,W,3,2,Wolfsburg,2.4,1.9,70,15,8,53.3,0.13,0.25,11.1,0,0,0
3,Bayern Munich,Matchweek 2,Home,W,2,0,Freiburg,1.5,1,66,11,2,18.2,0.09,0.5,16,0,1,1
4,Bayern Munich,Matchweek 3,Away,W,6,1,Holstein Kiel,3.2,0.3,70,22,11,50,0.18,0.36,15.9,0,1,1
5,Bayern Munich,Matchweek 4,Away,W,5,0,Werder Bremen,3,0,69,25,7,28,0.2,0.71,17.3,1,0,0
6,Bayern Munich,Matchweek 5,Home,D,1,1,Leverkusen,1.4,0.1,69,18,3,16.7,0.06,0.33,19.3,1,0,0
7,Bayern Munich,Matchweek 6,Away,D,3,3,Eint Frankfurt,2.2,1.2,74,24,13,54.2,0.13,0.23,17.5,2,0,0
8,Bayern Munich,Matchweek 7,Home,W,4,0,Stuttgart,3.2,0.5,65,22,10,45.5,0.18,0.4,15.9,0,0,0
9,Bayern Munich,Matchweek 8,Away,W,5,0,Bochum,2.2,0.6,72,19,10,52.6,0.26,0.5,17,1,0,0
10,Bayern Munich,Matchweek 9,Home,W,3,0,Union Berlin,2.5,0.5,77,15,6,40,0.13,0.33,16.6,0,1,1
11,Bayern Munich,Matchweek 10,Away,W,1,0,St. Pauli,0.8,0.1,75,13,6,46.2,0.08,0.17,19,0,0,0
12,Bayern Munich,Matchweek 11,Home,W,3,0,Augsburg,3.7,0.1,80,31,12,38.7,0.03,0.08,18.1,1,2,2
13,Bayern Munich,Matchweek 12,Away,D,1,1,Dortmund,1.5,0.6,67,14,5,35.7,0.07,0.2,19.4,2,0,0
14,Bayern Munich,Matchweek 13,Home,W,4,2,Heidenheim,2.4,1.3,82,21,10,47.6,0.19,0.4,15.8,0,0,0
15,Bayern Munich,Matchweek 14,Away,L,1,2,Mainz 05,1.4,1,68,13,1,7.7,0.08,1,16.2,0,0,0
16,Bayern Munich,Matchweek 15,Home,W,5,1,RB Leipzig,3.3,0.4,71,22,9,40.9,0.23,0.56,14.6,1,0,0
17,Bayern Munich,Matchweek 16,Away,W,1,0,Gladbach,4.3,0.4,67,22,9,40.9,0,0,16.8,1,1,1
18,Bayern Munich,Matchweek 17,Home,W,5,0,Hoffenheim,3.4,0.2,65,24,9,37.5,0.17,0.44,15.7,0,1,1
19,Bayern Munich,Matchweek 18,Home,W,3,2,Wolfsburg,3,0.5,71,25,10,40,0.12,0.3,15.3,1,0,0
20,Bayern Munich,Matchweek 19,Away,W,2,1,Freiburg,1,0.3,65,7,3,42.9,0.29,0.67,16.8,0,0,0
21,Bayern Munich,Matchweek 20,Home,W,4,3,Holstein Kiel,3.4,1.8,71,29,11,37.9,0.14,0.36,16.9,1,0,0
22,Bayern Munich,Matchweek 21,Home,W,3,0,Werder Bremen,4.1,0.1,75,19,10,52.6,0.05,0.1,17,0,2,2
23,Bayern Munich,Matchweek 22,Away,D,0,0,Leverkusen,0,2,43,2,0,0,0,,14.7,0,0,0
24,Bayern Munich,Matchweek 23,Home,W,4,0,Eint Frankfurt,3.8,0.5,63,19,10,52.6,0.21,0.4,13.1,0,0,0
25,Bayern Munich,Matchweek 24,Away,W,3,1,Stuttgart,2.2,0.9,47,17,8,47.1,0.18,0.38,19.3,2,0,0
26,Bayern Munich,Matchweek 25,Home,L,2,3,Bochum,2.4,1.1,73,13,5,38.5,0.15,0.4,16.2,0,0,1
27,Bayern Munich,Matchweek 26,Away,D,1,1,Union Berlin,1.6,0.7,80,18,4,22.2,0.06,0.25,21.1,1,0,0
28,Bayern Munich,Matchweek 27,Home,W,3,2,St. Pauli,3.5,1,65,19,8,42.1,0.16,0.38,13.3,0,0,0
29,Bayern Munich,Matchweek 28,Away,W,3,1,Augsburg,2.4,0.4,69,19,7,36.8,0.11,0.29,16.8,2,0,0
